DEPTH_INTERVAL,DEPTH_MIN,DEPTH_MAX,N_SAMPLES,CLEANNESS_SCORE_MEDIAN,STIFFNESS_SCORE_MEDIAN,RESERVOIR_QUALITY_SCORE_MEDIAN,HOMOGENEITY_SCORE_MEDIAN,ANOMALY_SCORE_MEDIAN,VSH_MEDIAN,AI_MEDIAN,VP_MEDIAN,VS_MEDIAN,YOUNG_MEDIAN,FENICS_CANDIDATE_SCORE
"(1450.0, 1500.0]",1450.1444,1499.8484,328,0.5481345638444484,,,0.7218432736611506,0.4809448564682567,0.45185431522637115,,2032.279932216856,762.8689365790511,,
"(1500.0, 1550.0]",1500.0004,1549.8564,329,0.4734748457227871,,,0.6131205146081321,0.3540141772152591,0.5265120343438522,,2168.7197517825957,866.9826779483227,,
"(1550.0, 1600.0]",1550.0084,1599.8644,329,0.6772765655062294,,,0.5137187825529872,0.26241103876127614,0.32271577132478085,,2176.641579385664,904.3316913876558,,
"(1600.0, 1650.0]",1600.0164,1649.8724,329,0.5820480795955782,,,0.7094418625446101,0.14527906872769497,0.4179417075051865,,2697.768436723882,,,
"(1650.0, 1700.0]",1650.0244,1699.8804,329,0.4711899001656107,,,0.6512682552642505,0.17436587236787476,0.5287969187219104,,2898.0562347668583,,,
"(1700.0, 1750.0]",1700.0324,1749.8884,329,0.5072055639128223,,,0.538685364044343,0.2326049323876337,0.4927822192893814,,3130.4685679308254,,,
"(1750.0, 1800.0]",1750.0404,1799.8964,329,0.4682892507140545,,,0.7615522807142389,0.11922385964288057,0.5316974905089572,,3403.4083540199963,,,
"(1800.0, 1850.0]",1800.0484,1849.9044,329,0.3489953060438866,,,0.8222330534730434,0.08888347326347829,0.6509882410993711,,3728.488038120693,,,
"(1850.0, 1900.0]",1850.0564,1899.9124,329,0.3670992011185369,,,0.7718308057393242,0.11408459713033792,0.6328848307541418,,4122.2267038120635,,,
"(1900.0, 1950.0]",1900.0644,1949.9204,329,0.5931901672351252,,,0.77734892078443,0.11132553960778502,0.4067999181935777,,4608.943421470819,,,
"(1950.0, 2000.0]",1950.0724,1999.9284,329,0.7519068618841314,,,0.17199947144476624,0.5,0.24808747316329582,,5177.524287570237,1144.7775791865067,,
"(3200.0, 3250.0]",3200.1204,3218.9684,125,0.9302042319915909,,,0.9870289483131448,0.009243679939840821,0.06979487694458324,,,,,
