COLUMN,DTYPE,NON_NULL_COUNT,NULL_COUNT,FILL_RATE,MEANING
FLAG_DTC_SUSPICIOUS,bool,18731,0,1.0,QC / geological / physical flag
FLAG_DTS_LOW,bool,18731,0,1.0,QC / geological / physical flag
FLAG_DTS_HIGH,bool,18731,0,1.0,QC / geological / physical flag
FLAG_DTS_ZERO,bool,18731,0,1.0,QC / geological / physical flag
FLAG_DTS_SUSPICIOUS,bool,18731,0,1.0,QC / geological / physical flag
FLAG_NPOR_LOW,bool,18731,0,1.0,QC / geological / physical flag
FLAG_NPOR_HIGH,bool,18731,0,1.0,QC / geological / physical flag
FLAG_NPOR_ZERO,bool,18731,0,1.0,QC / geological / physical flag
FLAG_NPOR_SUSPICIOUS,bool,18731,0,1.0,QC / geological / physical flag
FLAG_RDEP_LOW,bool,18731,0,1.0,QC / geological / physical flag
FLAG_RDEP_HIGH,bool,18731,0,1.0,QC / geological / physical flag
FLAG_RDEP_ZERO,bool,18731,0,1.0,QC / geological / physical flag
FLAG_RDEP_SUSPICIOUS,bool,18731,0,1.0,QC / geological / physical flag
FLAG_RMED_LOW,bool,18731,0,1.0,QC / geological / physical flag
FLAG_RMED_HIGH,bool,18731,0,1.0,QC / geological / physical flag
FLAG_RMED_ZERO,bool,18731,0,1.0,QC / geological / physical flag
FLAG_RMED_SUSPICIOUS,bool,18731,0,1.0,QC / geological / physical flag
FLAG_CALI_LOW,bool,18731,0,1.0,QC / geological / physical flag
FLAG_CALI_HIGH,bool,18731,0,1.0,QC / geological / physical flag
FLAG_CALI_ZERO,bool,18731,0,1.0,QC / geological / physical flag
FLAG_CALI_SUSPICIOUS,bool,18731,0,1.0,QC / geological / physical flag
FLAG_BS_LOW,bool,18731,0,1.0,QC / geological / physical flag
FLAG_BS_HIGH,bool,18731,0,1.0,QC / geological / physical flag
FLAG_BS_ZERO,bool,18731,0,1.0,QC / geological / physical flag
FLAG_BS_SUSPICIOUS,bool,18731,0,1.0,QC / geological / physical flag
FLAG_GR_IQR_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
FLAG_RHOB_IQR_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
FLAG_DTC_IQR_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
FLAG_DTS_IQR_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
FLAG_NPOR_IQR_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
FLAG_RDEP_IQR_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
FLAG_RMED_IQR_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
FLAG_CALI_IQR_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
FLAG_BS_IQR_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
ROBUST_Z_GR,float64,18731,0,1.0,Original or intermediate curve/attribute
FLAG_GR_ROBUST_Z_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
ROBUST_Z_RHOB,float64,18731,0,1.0,Original or intermediate curve/attribute
FLAG_RHOB_ROBUST_Z_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
ROBUST_Z_DTC,float64,18731,0,1.0,Original or intermediate curve/attribute
FLAG_DTC_ROBUST_Z_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
ROBUST_Z_DTS,float64,18731,0,1.0,Original or intermediate curve/attribute
FLAG_DTS_ROBUST_Z_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
ROBUST_Z_NPOR,float64,18731,0,1.0,Original or intermediate curve/attribute
FLAG_NPOR_ROBUST_Z_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
ROBUST_Z_RDEP,float64,18731,0,1.0,Original or intermediate curve/attribute
FLAG_RDEP_ROBUST_Z_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
ROBUST_Z_RMED,float64,18731,0,1.0,Original or intermediate curve/attribute
FLAG_RMED_ROBUST_Z_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
ROBUST_Z_CALI,float64,18731,0,1.0,Original or intermediate curve/attribute
FLAG_CALI_ROBUST_Z_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
ROBUST_Z_BS,float64,18731,0,1.0,Original or intermediate curve/attribute
FLAG_BS_ROBUST_Z_OUTLIER,bool,18731,0,1.0,QC / geological / physical flag
QC_FLAG_COUNT,float64,18731,0,1.0,Original or intermediate curve/attribute
QC_HAS_ANY_FLAG,float64,18731,0,1.0,Original or intermediate curve/attribute
FLAG_WASHOUT_DCALC_GT_1IN,bool,18731,0,1.0,QC / geological / physical flag
FLAG_CLEAN_ROCK_GR_LOW,bool,18731,0,1.0,QC / geological / physical flag
FLAG_SHALEY_GR_HIGH,bool,18731,0,1.0,QC / geological / physical flag
FLAG_CLEAN_RESISTIVE_ZONE,bool,18731,0,1.0,QC / geological / physical flag
FLAG_RHOB_SUSPICIOUS_WITH_WASHOUT,bool,18731,0,1.0,QC / geological / physical flag
FLAG_HIGH_DTC_HIGH_DTS,bool,18731,0,1.0,QC / geological / physical flag
FLAG_POISSON_SUSPICIOUS,bool,18731,0,1.0,QC / geological / physical flag
FLAG_VP_VS_SUSPICIOUS,bool,18731,0,1.0,QC / geological / physical flag
FLAG_ELASTIC_MODULUS_NEGATIVE,bool,18731,0,1.0,QC / geological / physical flag
FLAG_INTERPOLATED_ACROSS_LARGE_GAP,bool,18731,0,1.0,QC / geological / physical flag
